Date,Value,DataCollectedAt
2006-07-26,98.742,2026-09-18
2006-07-27,98.2283,2026-09-18
2006-07-28,98.0539,2026-09-18
2006-07-31,97.9996,2026-09-18
2006-08-01,98.1715,2026-09-18
2006-08-02,97.9432,2026-09-18
2006-08-03,98.0694,2026-09-18
2006-08-04,97.6005,2026-09-18
2006-08-07,97.5088,2026-09-18
2006-08-08,97.6524,2026-09-18
2006-08-09,97.4402,2026-09-18
2006-08-10,97.8887,2026-09-18
2006-08-11,97.7863,2026-09-18
2006-08-14,97.9677,2026-09-18
2006-08-15,97.8043,2026-09-18
2006-08-16,97.3894,2026-09-18
2006-08-17,97.3486,2026-09-18
2006-08-18,97.7577,2026-09-18
2006-08-21,97.3856,2026-09-18
2006-08-22,97.6079,2026-09-18
2006-08-23,97.5731,2026-09-18
2006-08-24,97.7939,2026-09-18
2006-08-25,97.8827,2026-09-18
2006-08-28,97.8467,2026-09-18
2006-08-29,97.7748,2026-09-18
2006-08-30,97.5792,2026-09-18
2006-08-31,97.644,2026-09-18
2006-09-01,97.5084,2026-09-18
2006-09-04,97.4981,2026-09-18
2006-09-05,97.4392,2026-09-18
2006-09-06,97.6087,2026-09-18
2006-09-07,97.8108,2026-09-18
2006-09-08,98.2119,2026-09-18
2006-09-11,98.3845,2026-09-18
2006-09-12,98.2781,2026-09-18
2006-09-13,98.1775,2026-09-18
2006-09-14,98.0088,2026-09-18
2006-09-15,98.2104,2026-09-18
2006-09-18,98.1332,2026-09-18
2006-09-19,98.1703,2026-09-18
2006-09-20,98.1556,2026-09-18
2006-09-21,97.9458,2026-09-18
2006-09-22,97.8667,2026-09-18
2006-09-25,97.9909,2026-09-18
2006-09-26,98.0555,2026-09-18
2006-09-27,98.0107,2026-09-18
2006-09-28,98.0381,2026-09-18
2006-09-29,98.1054,2026-09-18
2006-10-02,97.9247,2026-09-18
2006-10-03,98.1267,2026-09-18
2006-10-04,98.3682,2026-09-18
2006-10-05,98.2776,2026-09-18
2006-10-06,98.5619,2026-09-18
2006-10-09,98.5702,2026-09-18
2006-10-10,98.9125,2026-09-18
2006-10-11,98.9146,2026-09-18
2006-10-12,98.831,2026-09-18
2006-10-13,98.8002,2026-09-18
2006-10-16,98.71,2026-09-18
2006-10-17,98.5354,2026-09-18
2006-10-18,98.6164,2026-09-18
2006-10-19,98.2897,2026-09-18
2006-10-20,98.1629,2026-09-18
2006-10-23,98.4483,2026-09-18
2006-10-24,98.349,2026-09-18
2006-10-25,98.2057,2026-09-18
2006-10-26,97.8907,2026-09-18
2006-10-27,97.4914,2026-09-18
2006-10-30,97.5672,2026-09-18
2006-10-31,97.3901,2026-09-18
2006-11-01,97.4949,2026-09-18
2006-11-02,97.6556,2026-09-18
2006-11-03,97.7209,2026-09-18
2006-11-06,97.806,2026-09-18
2006-11-07,97.4453,2026-09-18
2006-11-08,97.58,2026-09-18
2006-11-09,97.5041,2026-09-18
2006-11-10,97.4638,2026-09-18
2006-11-13,97.7904,2026-09-18
2006-11-14,97.7475,2026-09-18
2006-11-15,97.8359,2026-09-18
2006-11-16,97.8098,2026-09-18
2006-11-17,97.9855,2026-09-18
2006-11-20,98.0254,2026-09-18
2006-11-21,98.0215,2026-09-18
2006-11-22,97.5315,2026-09-18
2006-11-23,97.5314,2026-09-18
2006-11-24,97.0657,2026-09-18
2006-11-27,96.9986,2026-09-18
2006-11-28,96.8428,2026-09-18
2006-11-29,96.8577,2026-09-18
2006-11-30,96.5779,2026-09-18
2006-12-01,96.4585,2026-09-18
2006-12-04,96.4319,2026-09-18
2006-12-05,96.2082,2026-09-18
2006-12-06,96.2839,2026-09-18
2006-12-07,96.3207,2026-09-18
2006-12-08,96.6123,2026-09-18
2006-12-11,96.6646,2026-09-18
2006-12-12,96.7119,2026-09-18
2006-12-13,96.7296,2026-09-18
2006-12-14,96.7946,2026-09-18
2006-12-15,96.9857,2026-09-18
2006-12-18,97.1559,2026-09-18
2006-12-19,96.9313,2026-09-18
2006-12-20,96.7762,2026-09-18
2006-12-21,96.9148,2026-09-18
2006-12-22,97.1113,2026-09-18
2006-12-25,97.1221,2026-09-18
2006-12-26,97.1786,2026-09-18
2006-12-27,97.2076,2026-09-18
2006-12-28,97.0656,2026-09-18
2006-12-29,97.0312,2026-09-18
2007-01-01,97.0323,2026-09-18
2007-01-03,97.1281,2026-09-18
2007-01-04,97.5251,2026-09-18
2007-01-05,97.7801,2026-09-18
2007-01-08,97.788,2026-09-18
2007-01-09,97.9642,2026-09-18
2007-01-10,98.0943,2026-09-18
2007-01-11,98.0845,2026-09-18
2007-01-12,97.921,2026-09-18
2007-01-15,97.9201,2026-09-18
2007-01-16,97.9816,2026-09-18
2007-01-17,97.7509,2026-09-18
2007-01-18,97.8286,2026-09-18
2007-01-19,97.6868,2026-09-18
2007-01-22,97.827,2026-09-18
2007-01-23,97.8117,2026-09-18
2007-01-24,97.908,2026-09-18
2007-01-25,97.8396,2026-09-18
2007-01-26,98.1491,2026-09-18
2007-01-29,98.2066,2026-09-18
2007-01-30,98.1515,2026-09-18
2007-01-31,97.964,2026-09-18
2007-02-01,97.7101,2026-09-18
2007-02-02,97.9743,2026-09-18
2007-02-05,97.87,2026-09-18
2007-02-06,97.7357,2026-09-18
2007-02-07,97.7239,2026-09-18
2007-02-08,97.8169,2026-09-18
2007-02-09,97.7076,2026-09-18
2007-02-12,97.9409,2026-09-18
2007-02-13,97.7063,2026-09-18
2007-02-14,97.2779,2026-09-18
2007-02-15,97.1588,2026-09-18
2007-02-16,97.164,2026-09-18
2007-02-19,97.1545,2026-09-18
2007-02-20,97.321,2026-09-18
2007-02-21,97.27,2026-09-18
2007-02-22,97.266,2026-09-18
2007-02-23,97.1756,2026-09-18
2007-02-26,97.2281,2026-09-18
2007-02-27,97.0883,2026-09-18
2007-02-28,97.2386,2026-09-18
2007-03-01,97.3358,2026-09-18
2007-03-02,97.3691,2026-09-18
2007-03-05,97.6716,2026-09-18
2007-03-06,97.5123,2026-09-18
2007-03-07,97.4558,2026-09-18
2007-03-08,97.5731,2026-09-18
2007-03-09,97.4559,2026-09-18
2007-03-12,97.3013,2026-09-18
2007-03-13,97.2203,2026-09-18
2007-03-14,97.2759,2026-09-18
2007-03-15,97.2476,2026-09-18
2007-03-16,97.0407,2026-09-18
2007-03-19,97.1062,2026-09-18
2007-03-20,96.7985,2026-09-18
2007-03-21,96.6195,2026-09-18
2007-03-22,96.3893,2026-09-18
2007-03-23,96.5662,2026-09-18
2007-03-26,96.5493,2026-09-18
2007-03-27,96.4558,2026-09-18
2007-03-28,96.4894,2026-09-18
2007-03-29,96.5067,2026-09-18
2007-03-30,96.3183,2026-09-18
2007-04-02,96.3175,2026-09-18
2007-04-03,96.3774,2026-09-18
2007-04-04,96.3646,2026-09-18
2007-04-05,96.1188,2026-09-18
2007-04-06,96.2526,2026-09-18
2007-04-09,96.293,2026-09-18
2007-04-10,96.1179,2026-09-18
2007-04-11,96.0293,2026-09-18
2007-04-12,95.7999,2026-09-18
2007-04-13,95.711,2026-09-18
2007-04-16,95.5538,2026-09-18
2007-04-17,95.3832,2026-09-18
2007-04-18,95.3109,2026-09-18
2007-04-19,95.2712,2026-09-18
2007-04-20,95.1692,2026-09-18
2007-04-23,95.1833,2026-09-18
2007-04-24,95.1608,2026-09-18
2007-04-25,94.8497,2026-09-18
2007-04-26,95.1653,2026-09-18
2007-04-27,95.0103,2026-09-18
2007-04-30,94.8365,2026-09-18
2007-05-01,95.0037,2026-09-18
2007-05-02,95.0352,2026-09-18
2007-05-03,95.0167,2026-09-18
2007-05-04,94.9118,2026-09-18
2007-05-07,94.6914,2026-09-18
2007-05-08,94.8648,2026-09-18
2007-05-09,94.7933,2026-09-18
2007-05-10,94.9506,2026-09-18
2007-05-11,95.0035,2026-09-18
2007-05-14,94.8267,2026-09-18
2007-05-15,94.5574,2026-09-18
2007-05-16,94.8143,2026-09-18
2007-05-17,94.8339,2026-09-18
2007-05-18,94.6573,2026-09-18
2007-05-21,94.7026,2026-09-18
2007-05-22,94.5753,2026-09-18
2007-05-23,94.4557,2026-09-18
2007-05-24,94.7025,2026-09-18
2007-05-25,94.5022,2026-09-18
2007-05-28,94.4959,2026-09-18
2007-05-29,94.3533,2026-09-18
2007-05-30,94.549,2026-09-18
2007-05-31,94.3215,2026-09-18
2007-06-01,94.132,2026-09-18
2007-06-04,93.9969,2026-09-18
2007-06-05,93.9986,2026-09-18
2007-06-06,94.1217,2026-09-18
2007-06-07,94.3537,2026-09-18
2007-06-08,94.7599,2026-09-18
2007-06-11,94.6576,2026-09-18
2007-06-12,94.6991,2026-09-18
2007-06-13,94.9011,2026-09-18
2007-06-14,94.9029,2026-09-18
2007-06-15,94.6228,2026-09-18
2007-06-18,94.5475,2026-09-18
2007-06-19,94.3227,2026-09-18
2007-06-20,94.3618,2026-09-18
2007-06-21,94.6073,2026-09-18
2007-06-22,94.4371,2026-09-18
2007-06-25,94.5105,2026-09-18
2007-06-26,94.4678,2026-09-18
2007-06-27,94.5633,2026-09-18
2007-06-28,94.2395,2026-09-18
2007-06-29,94.1393,2026-09-18
2007-07-02,93.634,2026-09-18
2007-07-03,93.697,2026-09-18
2007-07-04,93.6965,2026-09-18
2007-07-05,93.7653,2026-09-18
2007-07-06,93.5759,2026-09-18
2007-07-09,93.5519,2026-09-18
2007-07-10,93.3339,2026-09-18
2007-07-11,93.3089,2026-09-18
2007-07-12,93.1198,2026-09-18
2007-07-13,93.0133,2026-09-18
2007-07-16,92.9094,2026-09-18
2007-07-17,92.9095,2026-09-18
2007-07-18,92.7959,2026-09-18
2007-07-19,92.7332,2026-09-18
2007-07-20,92.7179,2026-09-18
2007-07-23,92.6585,2026-09-18
2007-07-24,92.505,2026-09-18
2007-07-25,92.9189,2026-09-18
2007-07-26,93.1186,2026-09-18
2007-07-27,93.5485,2026-09-18
2007-07-30,93.5918,2026-09-18
2007-07-31,93.4264,2026-09-18
2007-08-01,93.4011,2026-09-18
2007-08-02,93.3038,2026-09-18
2007-08-03,93.1039,2026-09-18
2007-08-06,93.1112,2026-09-18
2007-08-07,93.3171,2026-09-18
2007-08-08,93.0989,2026-09-18
2007-08-09,93.441,2026-09-18
2007-08-10,93.5214,2026-09-18
2007-08-13,93.6032,2026-09-18
2007-08-14,94.0416,2026-09-18
2007-08-15,94.5014,2026-09-18
2007-08-16,94.9055,2026-09-18
2007-08-17,94.319,2026-09-18
2007-08-20,94.2138,2026-09-18
2007-08-21,94.2676,2026-09-18
2007-08-22,94.0998,2026-09-18
2007-08-23,93.9827,2026-09-18
2007-08-24,93.6863,2026-09-18
2007-08-27,93.6109,2026-09-18
2007-08-28,93.8394,2026-09-18
2007-08-29,93.7174,2026-09-18
2007-08-30,93.7324,2026-09-18
2007-08-31,93.6674,2026-09-18
2007-09-03,93.6691,2026-09-18
2007-09-04,93.6433,2026-09-18
2007-09-05,93.5453,2026-09-18
2007-09-06,93.4468,2026-09-18
2007-09-07,93.2939,2026-09-18
2007-09-10,93.2349,2026-09-18
2007-09-11,92.9244,2026-09-18
2007-09-12,92.6386,2026-09-18
2007-09-13,92.6172,2026-09-18
2007-09-14,92.7083,2026-09-18
2007-09-17,92.823,2026-09-18
2007-09-18,92.6584,2026-09-18
2007-09-19,92.1534,2026-09-18
2007-09-20,91.4212,2026-09-18
2007-09-21,91.4854,2026-09-18
2007-09-24,91.4017,2026-09-18
2007-09-25,91.3392,2026-09-18
2007-09-26,91.4335,2026-09-18
2007-09-27,91.3497,2026-09-18
2007-09-28,90.9446,2026-09-18
2007-10-01,90.8801,2026-09-18
2007-10-02,91.12,2026-09-18
2007-10-03,91.1038,2026-09-18
2007-10-04,91.1632,2026-09-18
2007-10-05,90.7393,2026-09-18
2007-10-08,90.748,2026-09-18
2007-10-09,90.8609,2026-09-18
2007-10-10,90.7154,2026-09-18
2007-10-11,90.4901,2026-09-18
2007-10-12,90.5945,2026-09-18
2007-10-15,90.5387,2026-09-18
2007-10-16,90.7123,2026-09-18
2007-10-17,90.515,2026-09-18
2007-10-18,90.3084,2026-09-18
2007-10-19,90.1014,2026-09-18
2007-10-22,90.6777,2026-09-18
2007-10-23,90.1899,2026-09-18
2007-10-24,90.2262,2026-09-18
2007-10-25,89.9925,2026-09-18
2007-10-26,89.6508,2026-09-18
