Date,Adj Close,Close,High,Low,Open,Volume,DataCollectedAt
2007-05-30,70.1623764038086,91.5999984741211,91.5999984741211,91.5,91.58000183105469,1550,2026-09-04
2007-05-31,70.1623764038086,91.5999984741211,91.5999984741211,91.58000183105469,91.58000183105469,11200,2026-09-04
2007-06-01,70.17768859863281,91.62000274658203,91.62000274658203,91.62000274658203,91.62000274658203,1450,2026-09-04
2007-06-04,70.19298553466797,91.63999938964844,91.63999938964844,91.63999938964844,91.63999938964844,1050,2026-09-04
2007-06-05,70.19298553466797,91.63999938964844,91.68000030517578,91.63999938964844,91.66000366210938,3750,2026-09-04
2007-06-06,70.22364807128906,91.68000030517578,91.68000030517578,91.63999938964844,91.63999938964844,9750,2026-09-04
2007-06-07,70.20832061767578,91.66000366210938,91.66000366210938,91.63999938964844,91.63999938964844,12150,2026-09-04
2007-06-08,70.22364807128906,91.68000030517578,91.68000030517578,91.62000274658203,91.68000030517578,7850,2026-09-04
2007-06-11,70.25428009033203,91.72000122070312,91.72000122070312,91.68000030517578,91.68000030517578,2400,2026-09-04
2007-06-12,70.19298553466797,91.63999938964844,91.72000122070312,91.63999938964844,91.72000122070312,3900,2026-09-04
2007-06-13,70.25428009033203,91.72000122070312,91.72000122070312,91.63999938964844,91.63999938964844,3750,2026-09-04
2007-06-14,70.2849349975586,91.76000213623047,91.76000213623047,91.76000213623047,91.76000213623047,13400,2026-09-04
2007-06-15,70.34620666503906,91.83999633789062,91.83999633789062,91.73999786376953,91.80000305175781,1050,2026-09-04
2007-06-18,70.36152648925781,91.86000061035156,91.87999725341797,91.80000305175781,91.81999969482422,28000,2026-09-04
2007-06-19,70.36152648925781,91.86000061035156,91.86000061035156,91.86000061035156,91.86000061035156,850,2026-09-04
2007-06-20,70.37684631347656,91.87999725341797,91.9000015258789,91.83999633789062,91.83999633789062,3100,2026-09-04
2007-06-21,70.37684631347656,91.87999725341797,91.9000015258789,91.86000061035156,91.86000061035156,850,2026-09-04
2007-06-22,70.43806457519531,91.95999908447266,91.95999908447266,91.9000015258789,91.9000015258789,2200,2026-09-04
2007-06-25,70.40746307373047,91.91999816894531,91.91999816894531,91.9000015258789,91.9000015258789,29700,2026-09-04
2007-06-26,70.42279815673828,91.94000244140625,91.94000244140625,91.9000015258789,91.91999816894531,5100,2026-09-04
2007-06-27,70.40746307373047,91.91999816894531,91.95999908447266,91.91999816894531,91.95999908447266,8200,2026-09-04
2007-06-28,70.43806457519531,91.95999908447266,91.95999908447266,91.95999908447266,91.95999908447266,900,2026-09-04
2007-06-29,70.46876525878906,92.0,92.0,91.94000244140625,91.95999908447266,5650,2026-09-04
2007-07-02,70.48875427246094,91.62000274658203,91.69999694824219,91.5999984741211,91.62000274658203,13050,2026-09-04
2007-07-03,70.48875427246094,91.62000274658203,91.62000274658203,91.55999755859375,91.55999755859375,3000,2026-09-04
2007-07-05,70.48875427246094,91.62000274658203,91.62000274658203,91.54000091552734,91.5999984741211,5450,2026-09-04
2007-07-06,70.51951599121094,91.66000366210938,91.66000366210938,91.63999938964844,91.63999938964844,3800,2026-09-04
2007-07-09,70.53491973876953,91.68000030517578,91.68000030517578,91.5999984741211,91.5999984741211,3950,2026-09-04
2007-07-10,70.55029296875,91.69999694824219,91.69999694824219,91.66000366210938,91.66000366210938,5250,2026-09-04
