Date,Adj Close,Close,High,Low,Open,Volume,DataCollectedAt,SMA20,SMA50,SMA100,SMA150,SMA200,RSI14,MACD,MACD_Signal,MACD_Hist,ADX14,ATR14
1998-12-22,5.695552825927734,11.632813453674316,11.695313453674316,11.59375,11.65625,30400,2026-09-04,,,,,,,0.0,0.0,0.0,,
1998-12-23,5.814133167266846,11.875,11.875,11.65625,11.671875,135600,2026-09-04,,,,,,,0.01931972449321684,0.003863944898643368,0.015455779594573471,,
1998-12-24,5.783533573150635,11.8125,11.90625,11.796875,11.90625,24600,2026-09-04,,,,,,,0.029250337990827546,0.008941223517080203,0.020309114473747343,,
1998-12-28,5.752931594848633,11.75,11.875,11.671875,11.875,27000,2026-09-04,,,,,,,0.031711641010430114,0.013495307015750186,0.01821633399467993,,
1998-12-29,5.810306549072266,11.867188453674316,11.867188453674316,11.671875,11.78125,44000,2026-09-04,,,,,,,0.04262699277461479,0.019321644167523105,0.023305348607091686,,
1998-12-30,5.722329139709473,11.6875,11.859375,11.679688453674316,11.859375,43600,2026-09-04,,,,,,,0.03635900719390861,0.022729116772800206,0.013629890421108404,,
1998-12-31,5.714681148529053,11.671875,11.671875,11.609375,11.671875,26000,2026-09-04,,,,,,,0.029787405873481276,0.02414077459293642,0.005646631280544857,,
1999-01-04,5.710855484008789,11.664063453674316,11.875,11.640625,11.640625,57200,2026-09-04,,,,,,,0.023676114466839593,0.024047842567717054,-0.0003717281008774609,,
1999-01-05,5.680253982543945,11.601563453674316,11.734375,11.585938453674316,11.734375,85400,2026-09-04,,,,,,,0.013632497387941811,0.021964773531762006,-0.008332276143820195,,
1999-01-06,5.867684364318848,11.984375,12.0,11.65625,11.734375,112800,2026-09-04,,,,,,,0.03614588374369809,0.024800995574149224,0.011344888169548869,,
1999-01-07,5.840906620025635,11.929688453674316,11.992188453674316,11.789063453674316,11.984375,145200,2026-09-04,,,,,,,0.049010198318452325,0.029642836123009848,0.019367362195442477,,
1999-01-08,5.867684364318848,11.984375,12.28125,11.6875,12.0,842200,2026-09-04,,,,,,,0.06289301601618114,0.03629287210164411,0.02660014391453703,,
1999-01-11,5.756755352020264,11.757813453674316,11.890625,11.71875,11.875,70000,2026-09-04,,,,,,,0.054979852214732006,0.04003026812426169,0.014949584090470314,,
1999-01-12,5.668781280517578,11.578125,11.796875,11.5625,11.75,178400,2026-09-04,,,,,,,0.033819407322599915,0.03878809596392934,-0.004968688641329426,,0.19587669943393632
1999-01-13,5.584627628326416,11.40625,11.59375,11.34375,11.375,84800,2026-09-04,,,,,,68.18052231261387,0.0031444786199621433,0.0316593724951359,-0.02851489387517376,,0.19974264947436943
1999-01-14,5.477522373199463,11.1875,11.4375,11.1875,11.375,140000,2026-09-04,,,,,,62.158077157092634,-0.03837456214273338,0.017652585567562048,-0.05602714771029543,,0.2033324602262002
1999-01-15,5.561673641204834,11.359375,11.375,11.226563453674316,11.28125,21400,2026-09-04,,,,,,64.78974477017279,-0.056755581975126645,0.00277095205902431,-0.05952653403415095,,0.20220157021004304
1999-01-19,5.561673641204834,11.359375,11.40625,11.265625,11.40625,25600,2026-09-04,,,,,,64.78974477017279,-0.07050987863041946,-0.011885214078864446,-0.05862466455155502,,0.19780324376646855
1999-01-20,5.515775203704834,11.265625,11.40625,11.257813453674316,11.296875,31600,2026-09-04,,,,,,62.05954540170456,-0.08796113807681216,-0.02710039887845399,-0.060860739198358174,,0.19427705109212678
1999-01-21,5.561673641204834,11.359375,11.453125,11.25,11.265625,47800,2026-09-04,11.636719036102296,,,,,63.706572557348906,-0.09315273863365192,-0.04031086682949358,-0.05284187180415834,,0.19490904744268917
1999-01-22,5.531075477600098,11.296875,11.40625,11.28125,11.375,38600,2026-09-04,11.619922113418578,,,,,61.78105718833394,-0.1011444172621303,-0.052477576916020924,-0.04866684034610938,,0.18991554405392566
1999-01-25,5.523423671722412,11.28125,11.34375,11.1875,11.34375,36400,2026-09-04,11.590234613418579,,,,,61.28237594258933,-0.10749949975154216,-0.06348196148312518,-0.04401753826841698,,0.18751086233578812
1999-01-26,5.469873905181885,11.171875,11.296875,11.078125,11.296875,51400,2026-09-04,11.55820336341858,,,,,57.7673169329874,-0.11997855868482432,-0.07478128092346502,-0.0451972777613593,,0.18974222931180326
1999-01-27,5.370420455932617,10.96875,11.1875,10.9375,11.1875,74200,2026-09-04,11.51914086341858,,,,,51.82241531778958,-0.14459202584127162,-0.08874342990702634,-0.05584859593424528,,0.1940463557895316
1999-01-28,5.33981990814209,10.90625,11.0,10.8125,11.0,61600,2026-09-04,11.471093940734864,,,,,50.11350764706603,-0.16721406391722127,-0.10443755670906534,-0.06277650720815593,,0.1935787589474222
1999-01-29,5.33981990814209,10.90625,10.90625,10.71875,10.84375,37200,2026-09-04,11.432031440734864,,,,,50.11350764706603,-0.18303230954462002,-0.12015650727617627,-0.06287580226844375,,0.1931445618797492
1999-02-01,5.2862701416015625,10.796875,10.9375,10.796875,10.90625,46200,2026-09-04,11.388281440734863,,,,,46.969902285780606,-0.2020647548704222,-0.13653815679502546,-0.06552659807539674,26.25786060336715,0.18939316460262426
1999-02-02,5.293920516967773,10.8125,10.90625,10.765625,10.8125,53000,2026-09-04,11.345703268051148,,,,,47.476789257544304,-0.21342704388784028,-0.15191593421358843,-0.06151110967425186,27.223784244234,0.18590972427386537
1999-02-03,5.416323661804199,11.0625,11.125,10.875,10.875,58800,2026-09-04,11.318750095367431,,,,,54.90408285165158,-0.19995388521045676,-0.1615235244129621,-0.03843036079749465,26.238434775535683,0.19495188682573214
1999-02-04,5.446926116943359,11.125,11.15625,11.03125,11.0625,52000,2026-09-04,11.275781345367431,,,,,56.55800028635942,-0.1821335599195102,-0.16564553151427175,-0.016488028405238442,25.095102244173834,0.189955323481037
1999-02-05,5.599924087524414,11.4375,11.46875,11.09375,11.15625,132000,2026-09-04,11.251171922683715,,,,,63.72226264274556,-0.1411673955471784,-0.1607499043208531,0.019582508773674706,24.405218552858223,0.20317280037524862
1999-02-08,5.676425933837891,11.59375,11.59375,11.46875,11.484375,62200,2026-09-04,11.231640672683715,,,,,66.68101191359742,-0.09499826510677956,-0.1475995764780384,0.05260131137125884,24.31526488284313,0.19982117177701658
1999-02-09,5.569324970245361,11.375,11.609375,11.375,11.609375,128600,2026-09-04,11.2125,,,,,59.37943369365252,-0.07519341060097773,-0.13311834330262629,0.05792493270164856,23.62847435923222,0.20228930236437254
1999-02-10,5.584627628326416,11.40625,11.53125,11.34375,11.421875,138600,2026-09-04,11.20390625,,,,,60.05239782906435,-0.05632700424343007,-0.11776007549078706,0.06143307124735699,22.793883136513344,0.20123292362406023
1999-02-11,5.538726806640625,11.3125,11.359375,11.140625,11.359375,433600,2026-09-04,11.19921875,,,,,57.00142995431803,-0.04838236103744897,-0.10388453260011944,0.05550217156267047,21.463846168339128,0.20583235765091307
1999-02-12,5.423971176147461,11.078125,11.3125,11.078125,11.1875,484600,2026-09-04,11.19375,,,,,50.14275577435235,-0.060303140736037264,-0.09516825422730302,0.03486511349126575,20.54049740453292,0.207871117818705
1999-02-16,5.385720252990723,11.0,11.21875,10.890625,11.164063453674316,73200,2026-09-04,11.17578125,,,,,48.066593960162976,-0.07518776140318195,-0.0911721556624788,0.015984394259296847,20.520967201496624,0.21646068083165465
1999-02-17,5.332168102264404,10.890625,11.046875,10.875,10.9375,83400,2026-09-04,11.15234375,,,,,45.24229695468163,-0.09471773188139387,-0.09188127090626182,-0.0028364609751320574,20.56763568332076,0.21327598934367933
1999-02-18,5.347472667694092,10.921875,10.984375,10.765625,10.875,166000,2026-09-04,11.13515625,,,,,46.21470206933062,-0.10644670895826813,-0.0947943585166631,-0.011652350441605036,21.05577762824477,0.2136669901048451
1999-02-19,5.316869735717773,10.859375,10.984375,10.765625,10.96875,260600,2026-09-04,11.11015625,,,,,44.5121694068125,-0.11940876554034041,-0.09971723992139857,-0.019691525618941844,21.509052291388493,0.21403006224021331
1999-02-22,5.370420455932617,10.96875,11.0,10.84375,10.9375,159000,2026-09-04,11.09375,,,,,48.114503619817775,-0.11947836809848411,-0.1036694655568157,-0.015808902541668418,21.81237855262553,0.20990291493734092
1999-02-23,5.324519634246826,10.875,11.046875,10.875,11.0,619200,2026-09-04,11.0734375,,,,,45.39415781504394,-0.12564995565146297,-0.10806556357574516,-0.01758439207571781,21.73412257178919,0.20718663529895945
1999-02-24,5.301569938659668,10.828125,11.046875,10.828125,10.90625,69000,2026-09-04,11.05625,,,,,44.053004804955954,-0.132792652957626,-0.11301098145212134,-0.019781671505504653,21.89571338610803,0.20801258992046234
1999-02-25,5.3283467292785645,10.882813453674316,10.953125,10.8125,10.820313453674316,89200,2026-09-04,11.051953172683715,,,,,46.0554693295698,-0.13251286505016857,-0.11691135817173079,-0.015601506878437782,22.125196221087542,0.20319919064042932
1999-02-26,5.293920516967773,10.8125,11.0,10.8125,10.921875,49800,2026-09-04,11.047265672683716,,,,,43.880815068358544,-0.13639259031549678,-0.120807604600484,-0.01558498571501278,21.934914763669187,0.20207781988039866
1999-03-01,5.240367889404297,10.703125,10.84375,10.671875,10.835938453674316,26600,2026-09-04,11.037109422683717,,,,,40.66429287970515,-0.14660300081892608,-0.12596668384417242,-0.020636316974753655,22.490390691214944,0.19992047560322734
1999-03-02,5.1868181228637695,10.59375,10.765625,10.546875,10.71875,110200,2026-09-04,11.026953172683715,,,,,37.6891178416719,-0.16165699194475813,-0.13310474546428958,-0.028552246480468557,23.55143562421406,0.20126544163156826
1999-03-03,5.301569938659668,10.828125,10.875,10.609375,10.6875,206600,2026-09-04,11.027734422683716,,,,,46.69001429203563,-0.15291260331748013,-0.1370663170349277,-0.01584628628255244,23.6259395851672,0.20697862437217052
1999-03-04,5.492825508117676,11.21875,11.28125,10.921875,10.921875,180800,2026-09-04,11.035546922683716,,,,,57.666021500083986,-0.11315802415573728,-0.1322846584590896,0.01912663430335232,22.591528378668773,0.2245605083455869
1999-03-05,5.596105098724365,11.429688453674316,11.515625,11.3125,11.5,185400,2026-09-04,11.050781345367431,11.28156265258789,,,,62.19281391058089,-0.06389472481390435,-0.11860667173005256,0.05471194691614821,22.565599933086414,0.22972582917804502
1999-03-08,5.676425933837891,11.59375,11.625,11.445313453674316,11.492188453674316,215200,2026-09-04,11.058593845367431,11.280781383514404,,,,65.30065298224824,-0.01148244699231249,-0.09718182678250455,0.08569937979019206,22.916441469464186,0.22726766611716206
1999-03-09,5.615222930908203,11.46875,11.65625,11.421875,11.46875,158000,2026-09-04,11.052343845367432,11.272656383514404,,,,61.17452522698088,0.019740647562977998,-0.07379733191340804,0.09353797947638604,23.34760811180189,0.22777533282307907
